14.07.20 08:215,Left room
14.07.20 08:26,Entered room to grab phone from port
14.07.20 08:26,Leave again for breakfast
14.07.20 08:44,Grab cup to refill
14.07.20 08:45,Sit at laptop area
14.07.20 08:51,toilet trip
14.07.20 09:01,on fan
14.07.20 09:33,off fan
14.07.20 10:30,Nua on bed
14.07.20 11:38,Out to get lunch
14.07.20 11:46,Utensils and back at seat
14.07.20 13:47,out to wash bowl at 1.40
14.07.20 13:59,toilet and cup refill
14.07.20 15:06,on fan
14.07.20 15:16,mayeb i can appraise the kind of people you watch movies with
14.07.20 15:43,Pick parcel from delivery
14.07.20 16:02,shower
14.07.20 16:54,back to my desk
14.07.20 17:46,went to take snaxx
14.07.20 18:06,went to get drincc
14.07.20 18:29,aquick trip in and out
14.07.20 18:54,OPEN DOOR
14.07.20 19:17,dinnertiem
14.07.20 20:09,back to work
14.07.20 20:28,went out for drincc
14.07.20 20:55,refill
14.07.20 21:53,toilet
14.07.20 23:15,toilet/waterbreak
15.07.20 00:02,dental care
15.07.20 00:11,toilet again
15.07.20 00:34,Sleep
15.07.20 09:30,Out for brushing and breakfast
15.07.20 10:09,Back to com
15.07.20 11:11,Toilet break
15.07.20 11:21,on fan
15.07.20 11:44,grabbin a drincc
15.07.20 12:33,LUNCH
15.07.20 12:56,back from lunch
15.07.20 13:35,"drank too much, need pee"
15.07.20 14:06,[In reply to T tt]
15.07.20 14:06,this again
15.07.20 15:00,SHOWER
15.07.20 15:40,back after refillling
15.07.20 16:28,toilet
15.07.20 16:50,scam call
15.07.20 18:18,dinner
15.07.20 19:02,back from dinner
15.07.20 20:04,toilet
15.07.20 21:53,A break
15.07.20 22:14,am back from break
15.07.20 22:58,Water
16.07.20 00:58,Toilet break and sleep
16.07.20 09:44,I hate mornings lmao
16.07.20 09:5],Stop prog and shut down rpi
